IV. Exemption 3 Statutes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
A. This section lists the exemption 3 statutes invoked by NARA in responding to FOIA ,,,,,,,,,,,,,,
requests; the types of information withheld most often and court decisions supporting ,,,,,,,,,,,,,,
these withholdings.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Statute,Type of Information Withheld,Case Citation,Total Number of Times Relied upon by Agency,,,,,,,,,,,
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).",2,,,,,,,,,,,
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).",2,,,,,,,,,,,
(Title III of the Omnibus Crime Control and Safe Streets Act),,,,,,,,,,,,,,
26 U.S.C. §§ 6103,Certain tax return information ,Church of Scientology v. IRS 484 U.S. 9 (1987),3,,,,,,,,,,,
(Internal Revenue Code),,,,,,,,,,,,,,
50 U.S.C. § 403g (Central Intelligence Agency Act of 1949),"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).",3,,,,,,,,,,,
50 U.S.C. §421,"Identities of US Undercover Intelligence Officers, Agents, Informants and Sources",,2,,,,,,,,,,,
(Intelligence Identities Protection Act of 1982),,None,,,,,,,,,,,,
"50 U.S.C. § 435 Note Sec. 1082, P.L. 102-190",Information concerning US Personnel Classified as POW/MIA during the Vietnam and Korean Conflicts,,2,,,,,,,,,,,
,,None,,,,,,,,,,,,
F.R.Cr.P. 6(e),Grand Jury Information,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",11,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
V. FOIA Requests,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"A. Received, Processed and Pending FOIA Requests",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,,,,,,,,,,
Agency Overall,"5,781","18,581","17,508","6,854",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
B (1) Disposition of FOIA Requests — All Processed Requests,,,,,,,,,,,,,,
,,,Number of Full Denials Based on Reasons Other than Exempt,,,,,,,,,,,
,Number of Full Grants,Number of Partial Grants/ Partial Denials,Number of Full Denials Based on Exemptions,"No
Records",All Records Referred to Another Component or Agency,"Request
Withdrawn","Fee-
Related
Reason","Records not
Reasonably
Described","Improper
FOIA
Request
for Other
Reasons",Not Agency Record,"Duplicate
Request","Other
Explain in chart below ",TOTAL,
"AGENCY
OVERALL ",430,135,7,"16,596",44,19,6,97,39,6,27,102,17508,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"B. (2) Disposition of FOIA Requests — ""Other"" Reasons for ""Full Denials Based ",,,,,,,,,,,,,
,"on Reasons Other than Exemptions"" from Section V, B (1) Chart.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Component,Description of “Other” Reasons for Denials from Chart B (1) & Number of Times Those Reasons Were Relied upon,TOTAL,,,,,,,,,,,
,Agency Overall,Presidential Records Act  102,102,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
B. (3) Disposition of FOIA Requests — Number of Times Exemptions Applied,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Ex.
1","Ex.
2","Ex.
3","Ex.
4","Ex.
5","Ex.
6","Ex.
7(A)","Ex.
7(B)","Ex.
7(C)","Ex.
7(D)","Ex.
7(E)","Ex.
7(F)","Ex.
8","Ex.
9"
AGENCY OVERALL,81,17,55*,9,19,107,1,0,34,19,5,1,0,0
,,,,,,,,,,,,,,
"* According to our data there are thirty instances where (b)(3) was cited as the reason for withholding information, however no qualifying statute was identified.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VI. Administrative Appeals of Initial Determinations of FOIA Requests,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
