Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9, 
FSA,0,12,0,15,10,31,0,0,1,0,0,0,0,0,
IES,0,9,0,41,4,42,1,0,0,0,0,0,0,0,
OCFO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
OCFO-CAM,0,3,0,35,0,14,0,0,0,0,0,0,0,0,
OCR,0,1,0,1,2,25,2,0,46,0,0,0,0,0,
OCR-Atlanta,0,0,0,0,5,15,3,0,17,0,0,0,0,0,
OCR-Boston,0,0,1,0,26,8,17,0,51,0,0,0,0,0,
OCR-Chicago,0,1,0,1,11,5,33,0,12,0,0,0,0,0,
OCR-Cleveland,0,0,0,0,0,3,9,0,20,1,0,0,0,0,
OCR-Dallas,0,0,0,0,5,11,3,0,28,0,0,0,0,0,
OCR-Denver,0,8,3,0,13,29,9,2,7,1,0,0,0,0,
OCR-Kansas City,0,0,0,0,1,1,2,8,9,0,0,0,0,0,
OCR-Metro,0,0,0,0,0,11,7,0,45,0,0,0,0,0,
OCR-New York,0,1,0,0,0,12,1,0,39,0,0,0,0,0,
OCR-Philadelphia,0,0,0,0,0,0,5,0,30,0,0,0,0,0,
OCR-San Francisco,0,7,0,2,14,21,12,0,22,0,0,0,0,0,
OCR-Seattle,0,1,0,0,7,2,17,0,43,0,0,0,0,0,
OELA,0,0,0,19,17,7,0,0,0,0,0,0,0,0,
OESE,0,3,0,67,3,72,0,0,1,0,0,0,0,0,
OGC,0,1,0,2,2,4,1,1,3,0,0,0,0,0,
OIG,0,7,0,0,7,16,8,0,8,0,6,0,0,0,
OII,0,2,0,34,0,43,0,0,0,0,0,0,0,0,
OLCA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
OM,0,2,0,2,4,12,0,0,0,0,0,0,0,0,
OM-RIMS,0,28,0,93,9,111,1,1,10,0,0,0,0,0,
OPE,0,4,0,47,7,31,1,0,1,0,1,0,0,0,
OS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
OSDFS,0,8,0,60,0,51,0,0,0,0,0,0,0,0,
OSERS,0,5,0,46,2,48,1,1,0,0,0,0,0,0,
OVAE,0,0,0,3,0,5,0,0,0,0,0,0,0,0,
Total,0,103,4,468,150,633,133,13,393,2,7,0,0,0, 
