Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FSIP,9,0,0,0,0,0,0,0,0,0,0,0,9
Authority,19,5,0,10,0,0,0,0,0,0,0,0,34
IG,1,0,0,0,0,0,0,0,0,0,0,0,1
OGC,0,1,0,2,4,0,0,0,0,0,0,0,7
ATRO,3,0,1,0,1,1,0,0,0,0,0,1,7
BORO,6,2,0,0,0,0,0,0,0,0,0,1,9
CHRO,3,0,0,0,0,0,0,0,0,0,0,1,4
DARO,0,0,0,0,0,0,0,0,0,0,0,1,1
DERO,0,0,0,1,0,0,0,0,0,0,0,1,2
SFRO,0,0,0,0,0,0,0,0,0,0,0,1,1
WARO,2,0,0,0,0,0,0,0,0,0,0,0,2
Total,43,8,1,13,5,1,0,0,0,0,0,6,77
