Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,1,0,1,0,0,0,1,1,0,0,0,1,2,7,
Region 1,0,5,10,0,0,0,0,0,0,0,1,0,0,16,
Region 2,1,6,2,3,3,1,0,0,0,0,0,1,0,17,
Region 3,3,64,32,10,1,1,2,0,0,1,4,0,0,118,
Region 4,19,26,13,5,3,0,0,1,1,0,0,0,0,68,
Region 5,1,4,2,2,2,2,1,1,0,0,0,1,0,16,
Region 6,0,0,0,0,0,0,0,0,0,0,0,4,3,7,
Region 7,0,1,0,0,0,0,0,0,0,0,1,0,1,3,
Region 8,2,6,1,0,0,1,0,0,0,0,0,1,0,11,
Region 9,0,3,0,1,0,0,0,1,0,0,4,0,1,10,
Region 10,5,12,5,2,1,2,0,0,1,0,0,1,1,30,
Total,32,127,66,23,10,7,4,4,2,1,10,9,8,303,
