Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ARC,0,3,0,46,4,7,0,0,0,0,1,0,0,0,
DFRC,0,0,0,6,0,3,0,0,0,0,0,0,0,0,
GRC,0,1,3,10,0,3,0,0,0,0,0,0,0,0,
GSFC,0,3,8,72,1,8,1,0,1,0,0,0,0,0,
HQ,0,2,0,0,6,10,0,0,2,1,0,0,0,0,
JPL,0,1,1,4,2,7,0,0,0,0,0,0,0,0,
JSC,0,6,1,26,10,9,0,0,1,0,0,0,0,0,
KSC,0,1,2,11,2,9,0,0,2,0,0,0,0,0,
LaRC,0,0,3,24,2,2,0,0,0,0,0,0,0,0,
MSFC,0,2,3,42,7,5,0,0,4,0,0,0,0,0,
NSSC,0,0,1,2,0,2,0,0,1,0,0,0,0,0,
OIG,0,4,0,0,2,11,2,0,11,1,0,0,0,0,
SSC,0,0,0,2,0,1,0,0,0,0,0,0,0,0,
Total,0,23,22,245,36,77,3,0,22,2,1,0,0,0,
