Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AF,Date of Receipt,2003-10-17,2002-01-03,2001-08-01,2000-12-11,2000-01-21,2000-01-04,1999-11-09,1997-06-27,1997-04-28,1997-04-09
AF,Number of Days Pending,1740,2190,2294,2455,2679,2691,2727,3320,3363,3376
AFRICOM,Date of Receipt,,,,,,,2010-08-09,2010-07-21,2009-09-21,2009-08-19
AFRICOM,Number of Days Pending,,,,,,,37,50,258,280
ARMY,Date of Receipt,2006-01-04,2006-01-04,2004-12-02,2004-03-24,2003-12-09,2003-10-23,2002-01-07,2001-12-17,2001-07-31,2001-01-30
ARMY,Number of Days Pending,1188,1188,1460,1634,1705,1736,2188,2200,2307,2422
CENTCOM,Date of Receipt,2006-06-26,2006-06-26,2006-06-26,2006-06-23,2006-06-23,2006-06-09,2006-06-09,2006-03-14,2005-12-20,2004-03-15
CENTCOM,Number of Days Pending,1068,1068,1068,1069,1069,1079,1079,1141,1197,1641
DCAA,Date of Receipt,,,,,,,,,2010-09-20,2010-08-26
DCAA,Number of Days Pending,,,,,,,,,8,19
DCMA,Date of Receipt,2009-12-14,2009-12-08,2009-12-08,2009-11-09,2009-10-20,2009-09-14,2009-08-20,2009-04-22,2009-03-23,2008-04-30
DCMA,Number of Days Pending,201,205,205,224,238,263,279,363,385,607
DeCA,Date of Receipt,,,,,2010-09-20,2010-09-20,2010-09-20,2010-09-20,2010-04-29,2010-04-29
DeCA,Number of Days Pending,,,,,8,8,8,8,107,107
DFAS,Date of Receipt,,2010-09-29,2010-09-15,2010-09-10,2010-09-09,2010-09-08,2010-09-08,2010-08-16,2010-08-03,2010-07-08
DFAS,Number of Days Pending,,1,11,14,15,16,16,32,41,59
DIA,Date of Receipt,1998-09-14,1998-09-11,1998-08-26,1998-07-16,1998-06-11,1998-06-03,1998-05-26,1997-12-08,1997-11-13,1997-10-30
DIA,Number of Days Pending,3017,3018,3029,3058,3082,3088,3094,3209,3225,3234
DISA,Date of Receipt,2010-07-30,2010-07-28,2010-07-27,2010-06-09,2010-06-09,2010-04-26,2009-06-17,2009-04-13,2009-03-24,2008-04-22
DISA,Number of Days Pending,43,45,46,79,79,110,324,370,384,613
DLA,Date of Receipt,2010-05-13,2010-05-06,2010-05-05,2010-05-04,2010-04-22,2010-04-22,2010-04-14,2010-04-01,2010-03-16,2009-10-05
DLA,Number of Days Pending,97,102,103,104,112,112,118,127,139,248
DoDEA,Date of Receipt,,,2010-09-21,2010-09-20,2010-09-15,2010-09-10,2010-09-09,2010-06-29,2010-05-28,2010-05-24
DoDEA,Number of Days Pending,,,7,8,11,14,15,65,86,90
DoDIG,Date of Receipt,2009-01-29,2008-09-22,2008-07-14,2008-06-02,2007-10-16,2007-04-24,2006-03-08,2006-03-08,2005-08-11,2005-01-10
DoDIG,Number of Days Pending,421,507,556,585,741,862,1145,1145,1286,1435
DTIC,Date of Receipt,2010-09-30,2010-09-30,2010-09-30,2010-09-28,2010-09-23,2010-09-20,2010-09-13,2010-09-13,2010-09-01,2010-08-19
DTIC,Number of Days Pending,0,0,0,2,5,8,13,13,20,29
DTRA,Date of Receipt,2010-07-01,2010-07-01,2010-07-01,2010-03-15,2010-03-15,2010-03-15,2009-12-10,2009-12-10,2009-12-02,2009-03-09
DTRA,Number of Days Pending,63,63,63,140,140,140,203,203,209,395
EUCOM,Date of Receipt,2008-10-23,2008-07-31,2008-06-16,2008-06-04,2008-06-04,2008-05-15,2008-02-04,2007-08-20,2007-04-27,2007-04-06
EUCOM,Number of Days Pending,485,543,575,583,583,596,668,780,859,874
JFCOM,Date of Receipt,,,,2010-09-07,2010-09-02,2009-08-28,2008-10-03,2008-10-03,2008-05-07,2007-07-02
JFCOM,Number of Days Pending,,,,17,19,273,498,498,602,814
NAVY,Date of Receipt,2009-04-08,2008-12-30,2008-12-03,2008-11-21,2008-10-07,2008-08-10,2008-05-15,2004-08-04,2004-05-26,2003-12-30
NAVY,Number of Days Pending,373,441,458,465,496,536,596,1542,1589,1692
NGA,Date of Receipt,2009-03-26,2009-03-17,2009-01-04,2008-11-13,2008-08-05,2008-04-24,2008-03-03,2007-06-12,2006-11-07,2006-08-02
NGA,Number of Days Pending,382,389,438,471,540,611,649,828,975,1042
NGB,Date of Receipt,,,,,,,,,2010-07-30,2010-07-12
NGB,Number of Days Pending,,,,,,,,,43,57
NORTHCOM,Date of Receipt,,,,,,,,2010-09-13,2010-09-13,2010-03-13
NORTHCOM,Number of Days Pending,,,,,,,,13,64,148
NRO,Date of Receipt,2009-06-17,2009-06-03,2009-06-02,2009-05-13,2009-02-05,2009-01-13,2009-01-06,2008-12-01,2007-08-24,2007-06-11
NRO,Number of Days Pending,324,334,335,348,416,432,437,460,776,829
NSA,Date of Receipt,1997-09-19,1997-07-11,1996-11-15,1996-09-19,1996-05-16,1996-05-02,1996-03-29,1996-03-28,1995-07-13,1994-03-15
NSA,Number of Days Pending,3262,3311,3474,3513,3600,3610,3634,3635,3812,4146
OSD/JS,Date of Receipt,1994-11-28,1994-10-20,1994-08-25,1994-07-06,1994-03-23,1994-02-22,1993-11-23,1993-11-23,1993-08-17,1993-03-16
OSD/JS,Number of Days Pending,3969,3994,4032,4068,4140,4161,4221,4221,4288,4396
PACOM,Date of Receipt,2006-10-24,2006-10-24,2006-10-24,2006-10-24,2006-10-24,2006-08-02,2006-03-09,2004-08-09,2003-04-08,2002-10-24
PACOM,Number of Days Pending,985,985,985,985,985,1042,1144,1539,1874,1986
SOCOM,Date of Receipt,2004-05-13,2004-05-13,2004-03-29,2003-08-14,2003-08-14,2003-06-17,2003-03-31,2003-03-10,2002-12-13,1996-05-09
SOCOM,Number of Days Pending,1598,1598,1631,1784,1784,1825,1880,1895,1952,3605
SOUTHCOM,Date of Receipt,2007-06-11,2007-04-24,2007-04-24,2007-01-04,2007-01-04,2006-10-25,2006-08-02,2006-05-10,2006-02-27,2006-02-24
SOUTHCOM,Number of Days Pending,829,862,862,938,938,984,1042,1100,1152,1153
STRATCOM,Date of Receipt,2010-06-07,2010-06-07,2010-04-26,2010-04-20,2010-03-29,2010-02-01,2009-12-15,2009-10-09,2009-06-19,2008-10-14
STRATCOM,Number of Days Pending,81,81,110,114,130,169,200,244,322,492
TRANSCOM,Date of Receipt,2010-07-09,2010-05-11,2009-12-29,2009-11-20,2009-03-27,2008-12-09,2008-11-13,2008-09-14,2008-06-12,2008-04-22
TRANSCOM,Number of Days Pending,58,99,191,216,381,454,471,512,577,613
TRICARE,Date of Receipt,2010-02-17,2010-01-14,2010-01-05,2009-12-28,2009-12-14,2009-12-04,2009-12-01,2009-11-03,2009-10-23,2009-10-13
TRICARE,Number of Days Pending,158,180,187,192,201,207,210,228,235,243
