Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ARC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DFRC,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
GRC,19,2,2,1,0,0,0,0,0,0,2,0,0,26,
GSFC,38,15,13,21,9,12,10,14,22,9,32,21,2,218,
HQ,11,14,13,11,3,4,1,2,2,3,16,16,69,165,
JPL,1,2,0,0,0,0,0,0,0,0,0,0,0,3,
JSC,83,23,9,2,1,0,1,0,0,0,1,0,0,120,
KSC,29,13,3,1,0,0,0,0,0,0,0,0,0,46,
LaRC,12,6,5,9,4,4,3,3,3,2,13,2,38,104,
MSFC,3,3,0,0,0,1,0,1,0,0,0,0,0,8,
NSSC,2,1,0,1,0,0,0,0,0,0,0,0,0,4,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SSC,4,0,0,0,0,0,0,0,1,0,0,0,0,5,
Total,202,79,45,46,17,21,15,20,28,14,65,39,109,700,
