Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
Census,5,6,3,0,0,0,0,0,0,0,0,0,0,14,
EDA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NOAA,0,2,0,1,0,1,0,0,0,0,0,0,0,4,
NTIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NTIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,8,8,3,1,0,1,0,0,0,0,0,0,0,21,
