Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,1,2,1,1,0,0,0,0,0,0,0,0,0,5,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R01,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
R02,4,0,2,0,0,0,0,0,0,0,0,0,0,6,
R03,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
R04,2,1,0,0,0,0,0,0,0,0,0,0,0,3,
R05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R06,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
R07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R09,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
R0X,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
Total,18,4,3,1,0,0,0,0,0,0,0,0,0,26,
