Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIS,89,76,91,83,
Census,234,329,229,298,
EDA,37,51,34,52,
ESA,12,13,12,13,
ITA,141,66,114,86,
MBDA,10,12,10,11,
NIST,170,216,157,202,
NOAA,688,652,708,620,
NTIA,45,99,45,87,
NTIS,21,8,21,8,
OIG,48,85,51,73,
OS,235,252,245,243,
PTO,361,254,375,245,
Total,2091,2113,2092,2021,
