Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
BIA,14,0.5,0.5,89,19,62,0,,,
BLM,1,4,4,117,64,98,0,,,
BOEMRE,0,,,22,249,250,0,,,
BOR,0,,,25,9,79,0,,,
FWS,1,8,8,136,53,101,1,8,8,
NPS,0,,,56,22,83,0,,,
OIG,0,0,0,78,712,733,0,,,
OS,0,,,117,123,144,0,,,
OSM,0,,,12,131,132,3,127,123,
SOL,0,,,48,264,397,0,,,
USGS,0,,,11,6,35,0,,,
Total,16,1,1,711,66,128,4,122,95,
