Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
BEP,Date of Receipt,,,,,2011-09-30,2011-09-26,2011-09-09,2011-09-06,2011-09-01,2011-09-01
BEP,Number of Days Pending,,,,,1,5,16,19,21,21
BPD,Date of Receipt,,,,,,,,,2011-09-29,2011-09-29
BPD,Number of Days Pending,,,,,,,,,2,2
CFPB,Date of Receipt,,,2011-09-15,2011-08-30,2011-08-26,2011-08-24,2011-08-23,2011-08-19,2011-08-09,2011-08-03
CFPB,Number of Days Pending,,,12,23,25,27,28,30,38,42
DO,Date of Receipt,2007-01-22,2005-10-03,2005-09-15,2005-08-08,2005-08-08,2005-06-09,2005-02-16,2004-12-06,2003-11-18,2003-10-30
DO,Number of Days Pending,1209,1549,1561,1589,1589,1631,1712,1764,2038,2051
FinCEN,Date of Receipt,,,,,,,,,2011-09-30,2011-09-19
FinCEN,Number of Days Pending,,,,,,,,,1,10
FMS,Date of Receipt,2011-09-26,2011-09-26,2011-09-21,2011-09-21,2011-09-20,2011-09-16,2011-09-15,2011-09-13,2011-09-12,2011-09-02
FMS,Number of Days Pending,5,5,8,8,9,11,12,14,15,20
IRS,Date of Receipt,2010-10-05,2010-09-28,2010-09-27,2010-09-13,2010-08-17,2010-08-16,2010-07-08,2010-07-06,2010-05-04,2010-01-04
IRS,Number of Days Pending,249,254,255,265,283,284,311,313,356,440
MINT,Date of Receipt,,,,,2011-09-29,2011-09-28,2011-09-28,2011-09-26,2011-09-19,2011-09-13
MINT,Number of Days Pending,,,,,2,3,3,5,10,14
OCC,Date of Receipt,2011-09-08,2011-09-07,2011-09-02,2011-08-31,2011-08-30,2011-08-05,2011-08-04,2011-07-21,2011-07-18,2011-05-20
OCC,Number of Days Pending,17,18,20,22,23,40,41,51,54,93
OTS,Date of Receipt,2011-03-14,2011-03-10,2011-03-08,2011-02-09,2011-01-03,2010-12-22,2010-09-24,2010-09-15,2009-02-05,2008-02-25
OTS,Number of Days Pending,142,144,146,164,190,196,256,263,676,924
TIGTA,Date of Receipt,2011-09-30,2011-09-30,2011-09-29,2011-09-26,2011-09-23,2011-09-22,2011-09-21,2011-09-20,2011-09-16,2011-09-15
TIGTA,Number of Days Pending,1,1,2,5,6,7,8,9,11,12
