Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,9,3,1,1,0,1,0,0,0,0,0,0,0,15,
Region 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
Region 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
Region 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Region 10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
Total,12,4,1,1,0,1,0,0,0,0,0,0,0,19,
