Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BEP,44,2,0,0,0,0,0,0,0,0,0,0,0,46,
BPD,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
CFPB,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
DO,166,11,5,6,3,4,2,1,1,0,3,0,0,202,
FinCEN,104,0,0,0,0,0,0,0,0,0,0,0,0,104,
FMS,280,0,0,0,0,0,0,0,0,0,0,0,0,280,
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MINT,81,0,0,0,0,0,0,0,0,0,0,0,0,81,
OCC,1405,130,50,16,15,17,3,0,0,0,0,0,0,1636,
OTS,361,26,1,1,0,0,0,0,0,0,0,1,0,390,
TIGTA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
TTB,23,2,1,0,0,0,0,0,0,0,0,0,0,26,
Total,2479,173,57,23,18,21,5,1,1,0,3,1,0,2782,
