Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",23,ATLANTA,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",760,BIRMINGHAM,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",22,CHARLOTTE,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",146,CHICAGO,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",554,DALLAS,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",89,HOUSTON,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",119,INDIANAPOLIS,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",536,LOS ANGELES,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",116,MEMPHIS,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",536,MIAMI,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",136,NEW YORK,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",365,OLC/HDQ,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",250,PHILADELPHIA,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",224,PHOENIX,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",112,SAN FRANCISCO,4080
"42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.,"EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",59,ST. LOUIS,4080
