Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
10 U.S.C. § 2305(g),Certain contractor proposals,"Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).",1,DFRC,12
10 U.S.C. § 2305(g),Certain contractor proposals,"Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).",7,GSFC,12
10 U.S.C. § 2305(g),Certain contractor proposals,"Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).",2,JSC,12
10 U.S.C. § 2305(g),Certain contractor proposals,"Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).",2,KSC,12
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,1,DFRC,20
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,4,HQ,20
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,4,JPL,20
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,5,JSC,20
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,1,KSC,20
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,1,LaRC,20
22 U.S.C. § 2751,"Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.",None cited,4,MSFC,20
41 U.S.C. § 423(a)(1)*,Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. V U.S. Dept of the Army, No, Civ. S001748, 2001 UL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)",1,GRC,2
41 U.S.C. § 423(a)(1)*,Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. V U.S. Dept of the Army, No, Civ. S001748, 2001 UL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)",1,KSC,2
18 U.S.C. § 798,Certain classified information pertaining to the communication intelligence and cryptographic devices of the United States or any foreign government,"Larson v. Dep't of State, 565(Espionage Act)F.3d 857, 868-69 (D.C. Cir. 2009); N.Y. Times Co. v. DOD, 499 F. Supp. 2d 501, 512 (S.D.N.Y. 2007); Adejumobi v. NSA, No. 07-1237, 2007 WL 4247878, at *3 (M.D. Fla. Dec. 3, 2007), aff'd per curiam, 287 F. App'x 770 (11th Cir. 2008).",1,MSFC,1
