Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ARC,0,0,0,7,23,23.57,0,0,0,
DFRC,0,0,0,1,96,96,0,0,0,
GRC,0,0,0,4,23.5,22.75,0,0,0,
GSFC,1,1,1,6,24,24.17,0,0,0,
HQ,0,0,0,18,20,30.83,0,0,0,
JPL,0,0,0,0,0,0,0,0,0,
JSC,0,0,0,14,29.5,43,0,0,0,
KSC,2,7,7,5,43,52.4,0,0,0,
LaRC,0,0,0,3,21,24.33,0,0,0,
MSFC,0,0,0,1,16,16,0,0,0,
NSSC,0,0,0,1,241,241,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,
OIG,1,17,17,0,0,0,0,0,0,
SSC,0,0,0,0,0,0,0,0,0,
Total,4,7,8,60,23,37,0,0,0,
