Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ALJ,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
EBSA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
MSHA,0,0,0,1,3,1,1,0,6,1,0,0,0,0,
OASAM,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
OFCCP,0,0,0,1,0,0,0,0,1,0,1,0,0,0,
OIG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
OSHA,0,0,0,5,1,0,10,0,42,18,0,0,0,0,
OWCP,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
SOL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
VETS,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
WHD,0,0,0,0,0,0,0,0,4,2,0,0,0,0,
Total,0,1,0,9,6,7,13,0,54,21,1,0,0,0,
