Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
ADJ BDS,0,0,0,0,
ALJ,1404,1404,855,1953,
ASP,0,0,0,0,
BLS,0,0,0,0,
CFO,0,0,0,0,
EBSA,213,205.33,26,375,
ETA,36,66.48,1,527,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,52,185.6,0,798,
OASAM,34,69,8,119,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,70.5,179.3,13,910,
OIG,57,57,57,57,
OLMS,104,131,4,312,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,52,118.91,1,1013,
OWCP,28,103.4,0,1288,
SOL,72.5,72.5,63,82,
VETS,112,112,112,112,
WB,0,0,0,0,
WHD,37,143.75,0,877,
Total,43,122,0,1953,
