Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
Admin,21412.27,0,21412.27,0,0.0%,
BVA,48896.53,0,48896.53,0,0.0%,
C&LA,1997.61,0,1997.61,0,0.0%,
CFM,162724.44,41506.95,204231.39,0,0.0%,
GC,112442.95,55017.16,167460.11,1591,1.41%,
HRM,60037.88,0,60037.88,0,0.0%,
IG,558.07,0,558.07,318.07,56.99%,
Mgmt,16920,0,16920,0,0.0%,
NCA,162572.98,0,162572.98,0,0.0%,
OAL,585330.78,0,585330.78,3374.14,0.58%,
OASHRA,4087.65,0,4087.65,0,0.0%,
OASP&IA,5365.67,0,5365.67,0,0.0%,
ODASB,2091,0,2091,0,0.0%,
ODASIA,570.47,0,570.47,0,0.0%,
ODI,9350,0,9350,0,0.0%,
OF,98821.45,0,98821.45,0,0.0%,
OIT,2157501.45,0,2157501.45,0,0.0%,
ORM,8060,0,8060,0,0.0%,
OSDBU,55677.6,0,55677.6,0,0.0%,
OSP,92584.82,0,92584.82,0,0.0%,
P&P,5661,0,5661,0,0.0%,
PA,3398.23,0,3398.23,0,0.0%,
SEC,66939.41,0,66939.41,0,0.0%,
VBA,2986985.12,0,2986985.12,14008.75,0.47%,
VHA,11623559.64,0,11623559.64,28722.92,0.25%,
Total,18293547,96524,18390071,48015,N/A,
