Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
CBP,13513,41381,14635,40259,
CRCL,3,73,73,3,
FEMA,326,798,564,560,
FLETC,12,113,122,3,
I&A,3,109,78,34,
ICE,2903,34161,30818,6246,
NPPD,2395,15187,12942,4640,
OIG,23,170,142,51,
OPS,0,45,45,0,
PRIV,85,798,840,43,
S&T,1,26,26,1,
TSA,573,909,851,631,
USCG,760,3468,3098,1130,
USCIS,17024,132797,138523,11298,
USSS,853,1499,1575,777,
Total,38474,231534,204332,65676,
