Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
CBP,0,4,18,8,7,193,2,0,189,3,198,3,0,0,
FEMA,0,1,0,4,4,7,0,0,0,0,1,0,0,0,
FLETC,0,0,0,1,2,4,1,0,0,0,0,1,0,0,
ICE,0,2,16,1,26,120,1,0,102,0,95,0,0,0,
OGC,3,0,5,0,13,9,2,0,28,0,32,3,0,0,
OIG,0,0,0,0,0,1,1,0,1,0,0,0,0,0,
TSA,1,2,4,0,5,5,0,0,2,0,0,0,0,0,
USCG,0,0,2,0,3,8,1,0,1,0,2,0,0,0,
USCIS,0,1,24,4,653,793,1,0,976,0,925,0,0,0,
USSS,0,1,0,15,1,12,23,0,11,0,17,0,0,0,
Total,4,11,69,33,714,1152,32,0,1310,3,1270,7,0,0,
