Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CBP,Date of Receipt,2013-06-10,2013-05-22,2013-05-07,2013-02-21,2013-01-11,2012-12-13,2012-06-28,2012-05-31,2012-04-10,2012-03-16
CBP,Number of Days Pending,79,91,102,155,182,201,316,336,372,389
FEMA,Date of Receipt,,,,,,,,,,2013-09-13
FEMA,Number of Days Pending,,,,,,,,,,12
ICE,Date of Receipt,2013-04-10,2013-04-10,2013-04-04,2013-03-28,2013-03-22,2013-02-14,2013-02-14,2013-02-14,2013-02-14,2012-11-02
ICE,Number of Days Pending,121,121,125,130,134,160,160,160,160,228
PRIV,Date of Receipt,2013-09-16,2013-09-11,2013-09-05,2013-08-09,2013-08-06,2013-08-01,2013-07-16,2013-06-11,2013-04-26,2013-03-26
PRIV,Number of Days Pending,11,14,18,36,39,42,54,78,109,132
TSA,Date of Receipt,2013-05-20,2012-04-10,2012-03-30,2011-09-16,2011-09-16,2011-09-15,2010-10-28,2010-09-03,2010-06-15,2009-12-16
TSA,Number of Days Pending,93,372,379,513,513,514,737,774,831,951
USCG,Date of Receipt,,,,,,,,2012-01-26,2011-05-05,2011-03-21
USCG,Number of Days Pending,,,,,,,,424,608,641
USCIS,Date of Receipt,,,,,,,,,,2013-05-08
USCIS,Number of Days Pending,,,,,,,,,,100
USSS,Date of Receipt,2013-06-20,2013-06-06,2013-04-03,2013-03-19,2013-02-13,2012-12-14,2011-05-10,2010-10-08,2010-10-08,2010-10-08
USSS,Number of Days Pending,71,81,126,137,161,200,605,750,750,750
