Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ALJ,Date of Receipt,,,,,,,,2013-09-26,2013-09-24,2013-08-21
ALJ,Number of Days Pending,,,,,,,,2,5,23
CFO,Date of Receipt,,,,,,,,,,2013-02-11
CFO,Number of Days Pending,,,,,,,,,,160
EBSA,Date of Receipt,2013-08-01,2013-07-30,2013-07-24,2013-07-21,2013-07-10,2013-05-28,2013-03-22,2012-11-01,2012-11-01,2011-04-13
EBSA,Number of Days Pending,25,35,44,45,56,87,125,229,229,620
ETA,Date of Receipt,2013-08-26,2013-08-26,2013-08-21,2013-08-21,2013-08-19,2013-08-17,2013-08-15,2013-08-08,2013-07-29,2013-07-26
ETA,Number of Days Pending,25,25,30,30,32,34,35,40,50,53
ILAB,Date of Receipt,,,,,,,,,2013-07-10,2012-04-04
ILAB,Number of Days Pending,,,,,,,,,53,374
MSHA,Date of Receipt,2013-03-28,2013-03-26,2013-02-05,2012-07-16,2012-05-02,2012-04-27,2012-04-24,2012-04-20,2012-03-20,2011-12-20
MSHA,Number of Days Pending,127,129,166,303,356,359,362,364,387,401
OASAM,Date of Receipt,2013-07-10,2013-07-09,2013-06-12,2013-06-06,2013-05-20,2013-05-07,2013-03-18,2013-03-12,2012-12-12,2012-11-29
OASAM,Number of Days Pending,58,59,75,80,92,100,136,136,199,201
OCIA,Date of Receipt,,,2013-08-05,2013-08-01,2013-07-05,2013-04-20,2013-03-01,2013-02-27,2012-12-27,2012-08-06
OCIA,Number of Days Pending,,,31,33,56,112,140,149,183,285
OFCCP,Date of Receipt,2013-06-25,2013-06-25,2013-05-14,2013-05-09,2013-05-07,2013-05-06,2013-05-01,2013-02-14,2012-12-05,2012-11-29
OFCCP,Number of Days Pending,66,66,96,98,100,101,105,159,205,211
OIG,Date of Receipt,2013-05-07,2013-04-01,2013-03-27,2013-03-11,2013-03-08,2013-03-04,2013-02-04,2013-02-04,2012-10-02,2012-09-12
OIG,Number of Days Pending,101,127,130,142,143,147,166,166,249,263
OLMS,Date of Receipt,,,,,,,2013-09-24,2013-09-23,2013-08-30,2013-02-19
OLMS,Number of Days Pending,,,,,,,5,6,18,18
OPA,Date of Receipt,2012-06-15,2012-06-07,2012-05-18,2012-05-10,2012-05-07,2012-05-03,2012-04-27,2012-04-27,2012-04-19,2012-02-17
OPA,Number of Days Pending,325,331,342,349,350,351,354,354,364,406
OSEC,Date of Receipt,,,,,,,2013-09-03,2013-08-14,2013-07-17,2013-07-17
OSEC,Number of Days Pending,,,,,,,20,33,53,53
OSHA,Date of Receipt,2013-02-04,2013-02-04,2013-01-24,2012-12-04,2012-11-02,2012-11-01,2012-11-01,2012-07-03,2012-07-03,2010-09-17
OSHA,Number of Days Pending,158,166,174,197,199,220,220,306,306,762
OWCP,Date of Receipt,2013-05-07,2013-03-13,2013-01-22,2013-01-15,2012-11-20,2012-11-06,2012-11-02,2012-10-26,2012-04-16,2012-04-09
OWCP,Number of Days Pending,10,16,17,19,150,165,199,224,359,364
SOL,Date of Receipt,2013-04-30,2013-01-09,2013-01-09,2012-06-27,2011-12-06,2011-11-04,2011-10-04,2011-10-04,2010-08-16,2010-08-03
SOL,Number of Days Pending,106,183,183,308,457,465,495,495,783,785
VETS,Date of Receipt,2013-09-05,2013-09-03,2013-08-16,2013-08-01,2013-07-23,2013-07-17,2013-07-12,2013-04-17,2013-03-20,2012-05-09
VETS,Number of Days Pending,16,17,27,33,43,49,56,116,138,344
WHD,Date of Receipt,2012-02-17,2012-02-14,2012-01-11,2011-10-28,2011-10-24,2011-10-19,2011-09-20,2011-07-01,2010-10-07,2010-08-19
WHD,Number of Days Pending,408,411,432,474,487,488,512,565,748,782
