Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FAA,14,18,,1491,29,50,,1074,13,14,,32,
FHWA,19,31,,574,23,47,,261,16,27,,101,
FMCSA,52,51,,158,58,59,1,213,15,42,3,130,
FRA,,,,,35,49,2,512,7,7,7,7,
FTA,21,25,,214,,,,,,,,,
MARAD,17,136.06,1,965,129.5,129.5,100,159,,,,,
NHTSA,19,20,1,53,39,92,3,310,,,,,
OIG,75,71,1,132,123,114,12,210,,,,,
OST,9,13,1,52,34,87,1,910,,,,,
PHMSA,2,8,,72,14,54,,639,19,168,5,601,
RITA,8,10,2,22,20,20,20,20,6,6,1,11,
SLSDC,15,17,12,26,,,,,,,,,
Total,16,28,0,1491,35,56,0,1074,15,55,0,601,
