Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
HQ,427,110,237.14,457,151,237.04,7,797,887.43
Region 1,11,12,63.91,13,28,194.08,0,,
Region 2,112,13.5,41.38,170,18,25.1,0,,
Region 3,128,14,34.11,55,32,133.53,2,49,49
Region 4,23,4,11.78,53,14,32.77,0,,
Region 5,27,1,35.37,100,10.5,36.07,0,,
Region 6,5,748,352.8,104,36.5,90.05,1,102,102
Region 7,13,44,49.62,43,10,11.12,0,,
Region 8,16,8,34.44,33,34,96.82,1,3,3
Region 9,9,5,28.33,43,9,29.42,0,,
Region 10,78,160,186.99,54,124.5,154.54,0,,
Total,849,58,153,1125,30,134,11,993,583
