Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
CBP,28,2376,1,12.89,1824,
CRCL,0,0,N/A,N/A,0,
FEMA,2,16,11,56.43,13,
FLETC,1,0,8,8,0,
I&A,1,11,6,5.1,12,
ICE,39,95,1,1,134,
NPPD,1,0,10,10,1,
OIG,1,17,9,9.22,11,
OPS,0,0,N/A,N/A,0,
PRIV,2,26,1,3.45,28,
S&T,0,2,1,1,1,
TSA,1,6,1,2.65,7,
USCG,5,1,24,39.33,1,
USCIS,10,833,5,5.96,752,
USSS,0,21,1,1,21,
Total,91,3404,N/A,N/A,2805,
