Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ATLANTA,1,5.67,1,61,,,,,,,,,
BIRMINGHAM,29,29.63,1,89,,,,,,,,,
CHARLOTTE,17,16.51,1,267,,,,,1,1.87,1,5,
CHICAGO,15,13.26,1,70,,,,,,,,,
DALLAS,11,21.56,1,161,,,,,,,,,
HOUSTON,12.5,13.9,1,107,,,,,,,,,
INDIANAPOLIS,6,7.45,1,34,,,,,,,,,
LOS ANGELES,1,2.13,1,226,,,,,,,,,
MEMPHIS,19,21.73,1,57,,,,,,,,,
MIAMI,16,16.59,1,63,,,,,,,,,
NEW YORK,23,37.05,1,176,,,,,,,,,
OLC/HDQ,18.5,20.71,1,184,,,,,10,10,10,10,
PHILADELPHIA,25.5,29.3,1,316,,,,,,,,,
PHOENIX,15,14.06,1,30,,,,,,,,,
SAN FRANCISCO,18,28.8,1,232,,,,,,,,,
ST. LOUIS,1,2.95,1,91,,,,,,,,,
WFO,19,16.9,1,33,,,,,,,,,
Total,13,17,1,316,0,0,0,0,14,14,5,24,
