Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AFRC,7,8.73,,20,26,25.33,13,36,,,,,
ARC,4.5,8.12,,20,19,34.89,,350,,,,,
GRC,1,3.43,,12,4,12.36,,46,,,,,
GSFC,3,5.11,,30,21,27.29,,95,,,,,
HQ,2,4.27,,39,11,15.15,,90,,,,,
JPL,1,2.86,,15,13,12.95,1,21,,,,,
JSC,2,4.11,,25,10,20.54,,99,,,,,
KSC,1,5.23,,48,8,24.79,,131,,,,,
LaRC,2.5,3.25,,9,14,16.82,,44,,,,,
MSFC,3,6.96,,20,28,27.6,3,54,,,,,
NSSC,20,23.4,16,36,20,19.22,1,42,,,,,
OIG,14.5,13,,23,17,19.33,10,39,,,,,
SSC,2,6.08,,26,,,,,,,,,
Total,3,6,0,48,13,22,0,350,0,0,0,0,
