Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OLA,Referred Documents Not Responsive,2,5
OLA,Directed requester to another agency or entity,2,5
OLA,Referred Records Improperly Directed,1,5
OIG,N/A,0,0
OIG,Transferred to another DOT component,9,9
OGC,N/A,0,0
CBP,Moot by Appeal,117,117
CRCL,Coordinated by Another Program Office,1,1
FEMA,Litigation,1,16
FEMA,Unable to locate requester,14,16
FEMA,Coordinated by Another Program Office,1,16
FLETC,N/A,0,0
I&A,N/A,0,0
ICE,Fugitive Disentitlement,1361,1876
ICE,Unable to locate requester,151,1876
ICE,Litigation,12,1876
ICE,Referred Documents are Not Responsive,352,1876
NPPD,Coordinated by Another Program Office,3,3
OIG,Unable to locate requester,2,2
OPS,N/A,0,0
PRIV,Records Referred Non-Responsive,1,11
PRIV,Litigation,1,11
PRIV,Aggregated,5,11
PRIV,Coordinated by Another Program Office,4,11
S&T,N/A,0,0
TSA,Unable to Locate Documents,1,3
TSA,Litigation,2,3
USCG,Unable to locate requester,4,20
USCG,Non-Responsive to Requests for Additional Information,16,20
USCIS,Unable to Locate Documents,7,7
USSS,Unable to locate requester,10,335
USSS,Records Referred Non-Responsive,12,335
USSS,Non-Responsive to Requests for Additional Information,313,335
OIG,Requester failed to provide requested clarification,5,17
OIG,Request administratively closed,5,17
OIG,Assigned to other bureau/office for response,1,17
OIG,Requester did not respond to the bureau's communications/unable to locate requester,5,17
OIG,Requester failed to provide written consent of subject individual,1,17
OPA,N/A,0,0
CFO,N/A,0,0
OIG,Records referred not related or indexed to requester,2,2
OGC,N/A,0,0
OIG,N/A,0,0
OIG,Administrative Closure- Based on response/non-response to continued interest correspondence,20,21
OIG,In Litigation,1,21
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Not applicable.,0,0
OGC,Administratively closed after failure to respond to inquiry from agency.,2,4
OGC,Misdirected requests.,2,4
OIG,N/A,0,0
OIG,N/A,0,0
OGC,N/A,0,0
OIG,In Litigation,1,1
OLA,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,2450,8939
