Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ATLANTA,25,1,7.48,0,,,0,,,
BIRMINGHAM,81,18,16.95,0,,,0,,,
CHARLOTTE,77,18,17.142,0,,,0,,,
CHICAGO,29,16,17.517,0,,,0,,,
DALLAS,136,18,25.544,0,,,0,,,
HOUSTON,50,23,22.9,0,,,0,,,
INDIANAPOLIS,42,5,6.404,0,,,0,,,
LOS ANGELES,0,0,0,0,,,0,,,
MEMPHIS,40,10,11.125,0,,,0,,,
MIAMI,87,13,13.367,0,,,0,,,
NEW YORK,54,12.5,12.388,0,,,0,,,
OLC/HDQ,46,17,29.369,0,,,0,,,
PHILADELPHIA,100,20,19.18,0,,,0,,,
PHOENIX,64,15,20.406,0,,,0,,,
SAN FRANCISCO,115,40.5,42.614,0,,,0,,,
ST. LOUIS,0,0,0,0,,,0,,,
WFO,25,11,14.24,0,,,0,,,
Total,970,16,21,0,0,0,0,0,0,
