Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BEP,2,8,2,8,
DO,25,16,13,16,
FinCEN,14,11,14,8,
IRS,239,184,235,188,
MINT,5,6,5,6,
OCC,22,28,27,22,
TIGTA,36,27,34,26,
TTB,0,0,0,0,
Fiscal Service,16,14,16,13,
Total,359,294,346,287,
