Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
Office of the AG,247518,460733,708251,246.34,0.1%,
Office of the DAG,157479,238341,395820,246.33,0.16%,
Office of the Assoc. AG,91055,32763,123818,246.33,0.27%,
Antitrust,901144.94,12245.52,913390.46,689.5,0.08%,
ATF,1720000,420000,2140000,866,0.05%,
BOP,4150000,475000,4625000,24793,0.6%,
Civil,676895,3792687,4469582,2880,0.43%,
Civil Rights,1099514,235378,1334892,4902.75,0.45%,
COPS,126251,0,126251,0,0.0%,
Criminal,1516919.39,235415.65,1752335.04,1077.46,0.07%,
CRS,17250,0,17250,0,0.0%,
DEA,2498920,460777,2959697,11426,0.46%,
ENRD,129162.5,0,129162.5,14428.06,11.17%,
EOIR,3116349,234300,3350649,1277,0.04%,
EOUSA,2480450,442320,2922770,23030.2,0.93%,
EOUST,277064.88,0,277064.88,13363.16,4.82%,
FBI,29917408,1309179,31226587,19173,0.06%,
FCSC,7500,0,7500,0,0.0%,
JMD,199789.91,0,199789.91,811.5,0.41%,
NSD,726812,157000,883812,0,0.0%,
OCDETF,35120,0,35120,0,0.0%,
OIG,452000,113000,565000,0,0.0%,
OIP,4898645,32763,4931408,69.6,0.0%,
OJP,813765.62,0,813765.62,85,0.01%,
OLA,87602,67526,155128,0,0.0%,
OLC,358040,188015,546055,42.4,0.01%,
OLP,59384,0,59384,0,0.0%,
OPR,180697,25676,206373,0,0.0%,
OSG,125000,75000,200000,0,0.0%,
OVW,7316.5,0,7316.5,0,0.0%,
Pardon Attorney,105389,0,105389,0,0.0%,
Public Affairs,20634,65526,86160,0,0.0%,
PRAO,4500,0,4500,0,0.0%,
TAX,257477,495984,753461,0,0.0%,
USMS,843083,3789,846872,56,0.01%,
USNCB,101590,998,102588,0,0.0%,
USPC,110000,0,110000,214,0.19%,
Total,58517726,9574416,68092142,119924,N/A,
