Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Admin,11,20.33,,50,20,38,,103,,,,,
BVA,6,15.75,,53,2.5,6,,19,,,,,
C&LA,33,33,33,33,32,33.33,29,39,,,,,
CFM,411.5,402.67,329,509,287,260.57,8,515,,,,,
GC,37,37.23,2,102,53.5,64.21,,187,37.5,37.5,36,39,
HRM,,,,,226,226,69,383,287,287,287,287,
IG,19,16.89,,45,20,24.8,,122,13,13,13,13,
Mgmt,6.5,142.38,4,822,14,16.67,,36,,,,,
NCA,16,17,15,21,26.5,30.28,1,87,,,,,
OAL,14,18.24,,100,21,38.41,,673,,,,,
OASHRA,42,45.67,41,54,42,42,42,42,,,,,
OASP&IA,56.5,56.5,26,87,94.5,94.5,45,144,13,13,13,13,
ODASB,452,310.67,7,473,,,,,,,,,
ODASIA,745,745,745,745,,,,,,,,,
ODI,30,30,30,30,,,,,,,,,
OF,27,48.33,16,102,20,23.89,16,39,,,,,
OIT,32,40.97,,144,71,111.84,7,485,59,59,59,59,
ORM,11.5,9.75,3,13,15,19.56,6,75,,,,,
OSDBU,,,,,11,24,4,57,,,,,
OSP,,,,,25,25,25,25,,,,,
PA,,,,,31,31,31,31,,,,,
SEC,116,109.88,21,215,46.5,78.11,7,233,,,,,
VBA,62,109.98,,596,35,85.11,,712,3.5,3.5,,7,
VHA,3,11.79,,752,7,17.14,,998,24,38.39,,181,
Total,4,13,0,822,11,42,0,998,20,39,0,287,
