Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
BEP,1,34,32,8,57,56,0,,
DO,60,182,226,224,158,291,6,313,312
FinCEN,4,4,4,4,14,20,0,,
IRS,0,0,0,1090,14,47,14,336,327
MINT,0,,,0,,,0,,
OCC,67,5,8,11,9,29,0,,
TIGTA,0,0,0,19,12,11,2,152,152
TTB,0,,,1,29,29,0,,
Fiscal Service,4,12,86,4,23,31,0,,
Total,141,36,202,1361,20,118,22,341,317
