Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
Admin,5,0,1,0,0,0,0,0,0,0,0,0,0,6,
BVA,6,2,2,0,0,0,0,0,0,0,0,0,0,10,
C&LA,2,2,0,0,0,0,0,0,0,0,0,0,0,4,
CFM,1,1,0,0,0,0,0,0,1,0,2,2,6,13,
GC,6,3,3,2,0,1,0,0,0,0,0,0,0,15,
HRM,1,0,0,0,0,1,0,0,0,0,1,1,1,5,
IG,2,93,12,1,1,0,0,0,0,0,0,0,0,109,
Mgmt,5,1,0,0,0,0,0,0,0,0,1,0,1,8,
NCA,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
OAL,41,10,5,3,1,0,0,0,0,0,0,0,0,60,
OASHRA,0,0,3,0,1,0,0,0,0,0,0,0,0,4,
OASP&IA,0,1,0,0,1,0,0,0,0,0,0,1,0,3,
ODASB,1,0,0,0,0,0,0,0,0,0,0,0,2,3,
ODASIA,0,0,0,0,0,0,0,0,2,1,16,14,2,35,
ODI,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
OF,2,1,0,0,0,1,0,0,0,0,1,0,0,5,
OIT,55,15,8,4,3,2,1,1,0,1,0,0,0,90,
ORM,7,0,1,0,0,0,0,0,0,0,0,0,1,9,
OSDBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P&P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEC,3,4,4,3,3,3,5,4,1,1,2,0,0,33,
VBA,41,19,6,10,8,4,1,1,3,4,31,2,8,138,
VHA,13162,1637,550,261,134,70,30,25,23,11,45,15,7,15970,
Total,13345,1791,595,284,152,82,37,31,30,18,99,35,28,16527,
