Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AF,125,0,247,176,404,1549,45,13,785,138,37,16,0,0,
AFRICOM,21,3,27,0,9,25,2,0,2,0,0,0,0,0,
ARMY,70,50,216,467,1776,5322,455,3,3129,84,1631,111,0,10,
CENTCOM,55,1,70,1,37,75,5,4,9,0,0,0,0,0,
DCAA,0,0,0,3,12,17,0,0,0,0,0,0,0,0,
DCMA,0,3,0,13,14,35,1,0,2,0,0,0,0,0,
DeCA,0,0,0,18,0,4,0,0,0,0,0,0,0,0,
DFAS,0,0,0,4,5,53,0,0,0,0,0,0,0,0,
DHA,0,1,12,16,6,17,0,0,0,0,0,0,0,0,
DIA,140,0,188,9,13,100,8,0,22,8,11,0,0,0,
DISA,1,0,3,143,8,156,4,0,0,0,0,0,0,0,
DLA,0,3,48,62,556,62,5,1,25,0,3,8,0,0,
DoD IG,48,8,28,49,80,329,51,0,247,3,37,47,0,0,
DoDEA,0,1,15,13,11,24,0,0,5,0,0,1,0,0,
DSS,4,0,0,4,3,19,0,0,9,0,0,2,0,0,
DTIC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
DTRA,0,0,2,1,0,1,0,0,0,0,0,0,0,0,
EUCOM,10,0,11,0,1,12,0,0,0,0,0,0,0,0,
JPRA,2,0,2,0,2,4,0,0,2,0,0,0,0,0,
NAVY,81,13,198,77,349,2804,148,16,1457,74,93,55,0,0,
NGA,19,0,25,5,1,5,0,0,0,0,0,0,0,0,
NGB,0,0,0,2,9,31,1,0,2,0,1,0,0,0,
NORTHCOM,8,0,3,0,6,10,0,0,0,0,0,0,0,0,
NRO,46,0,69,1,2,8,0,0,0,4,2,0,0,0,
NSA,738,150,1004,3,11,220,3,0,16,10,163,2,0,1,
OSD/JS,99,2,65,35,82,281,5,1,21,0,10,3,0,0,
PACOM,37,0,34,0,16,22,0,0,4,1,2,0,0,0,
SOCOM,8,1,27,10,5,22,0,0,0,0,1,1,0,0,
SOUTHCOM,131,0,93,2,57,93,4,3,31,20,35,22,0,0,
STRATCOM,10,0,7,2,9,24,2,0,3,0,5,0,0,0,
TRANSCOM,9,0,4,24,2,20,0,0,1,0,0,0,0,0,
Total,1662,236,2398,1140,3486,11346,739,41,5772,342,2031,268,0,11,
