Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Opened in Error,8,8
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Unable to locate requester,2,5
OIG,Opened in Error,3,5
OIG,Assigned to other bureau/office for response,1,8
OIG,Requester failed to provide requested clarification,4,8
OIG,Publicly Available Information,1,8
OIG,Request administratively closed,2,8
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
RRB,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Request Opened in Error,8,8
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
Total,0,29,58
