Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
AF,112,9,40,866,51,116,2,6,5,
AFRICOM,7,65,54,126,355,597,0,0,0,
ARMY,560,7,7,1461,64,105,32,59,66,
ASBCA,0,0,0,0,0,0,0,0,0,
CENTCOM,6,78,80,232,236,332,0,0,0,
DCAA,3,6,5,0,0,0,0,0,0,
DCMA,10,15,21,52,106,175,0,0,0,
DeCA,2,6,7,0,0,0,0,0,0,
DFAS,11,10,13,4,18,61,0,0,0,
DHA,7,51,45,47,42,67,0,0,0,
DIA,40,8,9,855,441,760,0,0,0,
DISA,58,61,870,7,9,8,0,0,0,
DLA,37,3,4,40,20,28,0,0,0,
DoD IG,7,14,43,690,181,284,25,193,305,
DoDEA,0,0,0,2,25,25,0,0,0,
DSS,0,0,0,0,0,0,0,0,0,
DTIC,2,1,2,0,0,0,0,0,0,
DTRA,0,0,0,53,173,192,0,0,0,
EUCOM,9,15,18,36,330,466,0,0,0,
JPRA,0,0,0,0,0,0,0,0,0,
NAVY,740,131,193,539,290,379,5,11,173,
NGA,0,0,0,56,134,173,0,0,0,
NGB,0,0,0,75,192,239,0,0,0,
NORTHCOM,0,0,0,33,105,357,0,0,0,
NRO,1,16,16,45,194,320,0,0,0,
NSA,584,149,193,888,466,576,2,355,1046,
OSD/JS,47,3,4,1408,263,593,1,6,6,
PACOM,0,0,0,4,327,410,0,0,0,
SOCOM,109,98,129,214,469,524,0,0,0,
SOUTHCOM,6,10,14,165,221,310,0,0,0,
STRATCOM,0,0,0,13,149,160,0,0,0,
TRANSCOM,0,0,0,45,213,319,0,0,0,
Total,2358,24,55,7956,159,237,67,20,50,
