Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
ADJ BDS,0,0,0,0,0,
ALJ,0,0,0,0,0,
ASP,0,0,0,0,0,
BLS,0,0,0,2,2,
CFO,0,0,0,0,0,
EBSA,0,0,1,13,14,
ETA,0,0,9,23,32,
EXEC SEC,0,0,0,0,0,
ILAB,0,0,0,0,0,
MSHA,3,5,3,2,13,
OASAM,1,1,2,6,10,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OFCCP,0,0,0,5,5,
OIG,0,1,0,0,1,
OLMS,1,0,1,1,3,
OPA,0,0,0,0,0,
OSEC,0,0,0,0,0,
OSHA,9,1,32,44,86,
OWCP,0,1,16,62,79,
SOL,0,0,0,2,2,
VETS,0,2,0,4,6,
WB,0,0,0,0,0,
WHD,0,1,20,23,44,
Total,14,12,84,187,297,
