Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
AF,179,165,0,1,
AFRICOM,12,0,8,8,
ARMY,585,93,0,7,
ASBCA,0,0,0,0,
CENTCOM,1,49,4,7,
DCAA,0,0,0,0,
DCMA,2,0,1,1,
DeCA,0,1,1,1,
DFAS,0,0,0,0,
DHA,1,0,23,23,
DIA,0,1,4,4,
DISA,0,0,0,0,
DLA,25,2,1,4,
DoD IG,0,0,0,0,
DoDEA,0,0,0,0,
DSS,0,0,0,0,
DTIC,0,0,0,0,
DTRA,2,3,0,0,
EUCOM,0,0,0,0,
JPRA,0,0,0,0,
NAVY,373,378,7,34,
NGA,0,0,0,0,
NGB,0,4,0,0,
NORTHCOM,1,0,0,0,
NRO,20,11,2,3,
NSA,0,12,6,30,
OSD/JS,1,32,0,8.52,
PACOM,97,0,0,0,
SOCOM,4,15,1,1,
SOUTHCOM,0,2,1,1,
STRATCOM,0,0,0,0,
TRANSCOM,19,0,49,353,
Total,1322,768,N/A,N/A,
