Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
OCTAE,1,N/A,N/A,N/A,
OSHS,0,N/A,N/A,N/A,
OM-OCPO,5,N/A,N/A,N/A,
OCTAE,N/A,0,N/A,N/A,
OSHS,N/A,0,N/A,N/A,
OM-OCPO,N/A,9,N/A,N/A,
OCTAE,N/A,N/A,9,N/A,
OM-OCPO,N/A,N/A,11,N/A,
OCTAE,N/A,N/A,N/A,9,
OM-OCPO,N/A,N/A,N/A,12.29,
FSA,26,33,11,14.92,
IES,0,3,11,10.67,
IES-NAGB,0,0,N/A,N/A,
M,42,30,12,21.72,
OCFO,2,0,15.5,15.5,
OCFO-CAM,2,3,11,11.6,
OCIO,1,0,4,4,
OCO,0,0,N/A,N/A,
OCR,17,16,13,18.73,
OCR-1 Boston,0,3,15,15.33,
OCR-2 New York,2,1,19,19,
OCR-3 Philadelphia,1,0,1,1,
OCR-4 Atlanta,1,4,15,13.6,
OCR-5 Chicago,0,0,N/A,N/A,
OCR-6 Dallas,0,3,10,11,
OCR-7 Kansas City,2,2,17,18,
OCR-8 Denver,2,1,1,1.33,
OCR-9 San Francisco,0,0,N/A,N/A,
OCR-10 Seattle,0,0,N/A,N/A,
OCR-12 Cleveland,2,3,5,9.6,
OCR-Metro D.C.,1,3,15.5,19.75,
ODS,1,0,549,549,
OESE,2,5,13,12.86,
OGC,1,0,16,16,
OIG,0,2,6,6,
OII,2,24,11,12.85,
OLCA,1,0,10,10,
OM,3,5,7,24.12,
OPE,2,16,10.5,12,
OPEPD,1,1,16,16,
OS,6,1,13,13.86,
OSERS,0,6,7,9,
OUS,0,0,N/A,N/A,
Total,126,174,N/A,N/A,
