Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
CBP,62,4569,3563,2637,2817,3720,2823,2225,2013,1917,11111,11288,9904,58649,
CRCL,4,2,2,0,3,2,1,0,0,2,1,0,0,17,
FEMA,43,25,27,16,13,16,11,19,13,13,74,74,110,454,
FLETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
I&A,33,32,11,3,3,4,1,1,0,1,2,3,2,96,
ICE,96,142,44,40,46,30,33,33,17,22,40,22,14,579,
NPPD,47,30,15,10,7,3,1,6,2,2,2,1,0,126,
OIG,20,19,20,10,3,3,4,1,1,2,6,5,3,97,
PRIV,0,66,82,33,19,15,8,10,9,2,20,3,1,268,
S&T,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
TSA,11,16,3,9,5,5,7,7,8,5,21,11,38,146,
USCG,304,502,146,55,36,17,9,12,11,8,13,6,61,1180,
USCIS,37979,4435,51221,20334,1225,329,190,80,69,47,107,7,3,116026,
USSS,0,131,150,74,45,45,50,32,20,35,83,53,200,918,
Total,38600,9969,55284,23221,4222,4189,3138,2426,2163,2056,11480,11473,10336,178557,
