Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
AMS,7,7,6,8,
APHIS,57,24,11,70,
ASCR,0,3,3,0,
DM,0,1,1,0,
FAS,0,0,0,0,
FNCS,7,35,30,12,
FS,27,52,54,25,
FSA,3,31,29,5,
FSIS,5,1,1,5,
GIPSA,0,2,1,1,
NAD,1,0,0,1,
NRCS,2,15,15,2,
OBPA,0,0,0,0,
OCFO,0,0,0,0,
OGC,3,1,3,1,
OIG,6,13,12,7,
OSEC/OCIO,2,3,2,3,
RD,15,23,21,17,
REE,0,2,2,0,
RMA,2,12,1,13,
Total,137,225,192,170,
