Year,Agency,Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year
2008,CEQ,CEQ,0,3,3,0
2008,CFTC,CFTC,0,5,4,1
2008,CO,CO,1,0,1,0
2008,CPPBSD,CPPBSD,0,1,1,0
2008,CSB,CSB,0,0,0,0
2008,DHS,CBP,196,132,209,119
2008,DHS,FLETC,0,4,4,0
2008,DHS,OGC,186,214,75,325
2008,DHS,TSA,15,25,34,6
2008,DHS,USCG,22,33,22,33
2008,DHS,USCIS,2950,1180,2146,1984
2008,DHS,USSS,24,104,100,28
2008,DNFSB,OGC,0,0,0,0
2008,DNFSB,OGM,0,0,0,0
2008,DOC,PTO,0,17,17,0
2008,DOC,AGC/Admin.,80,53,46,87
2008,DoD,AF,48,63,96,15
2008,DoD,ARMY,98,123,156,65
2008,DoD,ASBCA,0,0,0,0
2008,DoD,CENTCOM,0,0,0,0
2008,DoD,DCAA,0,0,0,0
2008,DoD,DCMA,0,0,0,0
2008,DoD,DeCA,0,0,0,0
2008,DoD,DFAS,0,2,2,0
2008,DoD,DIA,164,47,20,191
2008,DoD,DISA,0,2,2,0
2008,DoD,DLA,2,20,16,6
2008,DoD,DoDEA,0,0,0,0
2008,DoD,DoDIG,1,19,13,7
2008,DoD,DSS,0,0,0,0
2008,DoD,DTIC,0,0,0,0
2008,DoD,DTRA,1,1,2,0
2008,DoD,EUCOM,0,0,0,0
2008,DoD,JFCOM,0,0,0,0
2008,DoD,NAVY,2,398,355,45
2008,DoD,NGA,9,1,3,7
2008,DoD,NORTHCOM,0,0,0,0
2008,DoD,NRO,3,3,2,4
2008,DoD,NSA,8,50,50,8
2008,DoD,OSD/JS,349,135,145,339
2008,DoD,PACOM,0,0,0,0
2008,DoD,SOCOM,0,0,0,0
2008,DoD,SOUTHCOM,0,0,0,0
2008,DoD,STRATCOM,0,0,0,0
2008,DoD,TRANSCOM,0,0,0,0
2008,DoD,TRICARE,0,0,0,0
2008,DOE,HQ,9,55,51,13
2008,DOI,Appeals,639,214,300,553
2008,DOJ,OIP,1530,2846,3660,716
2008,DOJ,USPC,2,6,7,1
2008,DOT,FAA,67,89,80,76
2008,DOT,FHWA,9,10,8,11
2008,DOT,FMCSA,4,11,9,6
2008,DOT,FRA,1,2,2,1
2008,DOT,FTA,0,5,3,2
2008,DOT,MARAD,0,5,5,0
2008,DOT,NHTSA,1,7,7,1
2008,DOT,OIG,0,8,7,1
2008,DOT,OST,2,4,6,0
2008,DOT,PHMSA,3,1,2,2
2008,DOT,RITA,0,0,0,0
2008,DOT,SLSDC,0,1,1,0
2008,ED,OM-RIMS,24,67,54,37
2008,EPA,HQ,196,129,165,160
2008,Ex-Im Bank,Ex-Im Bank,1,0,1,0
2008,FCA,FCA,0,0,0,0
2008,FCC,FCC,21,25,20,26
2008,FCSIC,FCSIC,0,0,0,0
2008,FDIC,FDIC,0,3,1,2
2008,FEC,FEC,0,1,0,1
2008,FERC,FERC,0,8,7,1
2008,FFIEC,FFIEC,0,0,0,0
2008,FLRA,FSIP,0,0,0,0
2008,FLRA,Authority,0,2,2,0
2008,FLRA,OGC,0,3,3,0
2008,FMCS,FMCS,0,0,0,0
2008,FMSHRC,FMSHRC,0,0,0,0
2008,FOMC,FOMC,0,0,0,0
2008,FRB,FRB,0,11,11,0
2008,FTC,FTC,2,15,15,2
2008,GSA,GSA,0,18,18,0
2008,HHS,CMS,384,36,273,147
2008,HHS,OS,250,163,97,316
2008,HUD,Agency,2,39,41,0
2008,IAF,IAF,0,0,0,0
2008,IMLS,IMLS,0,0,0,0
2008,MSPB,MSPB,0,10,10,0
2008,NARA,NARA,8,42,21,29
2008,NASA,OGC,0,22,13,9
2008,NCUA,NCUA,0,3,3,0
2008,NEH,NEH,0,2,2,0
2008,NIGC,NIGC,0,3,3,0
2008,NMB,NMB,0,1,1,0
2008,NRPC,NRPC,0,2,1,1
2008,NSF,Foundation,0,10,10,0
2008,NSF,OIG,0,0,0,0
2008,OGE,OGE,0,0,0,0
2008,OMB,OMB,1,8,7,2
2008,ONDCP,OLC,0,1,1,0
2008,OPIC,OPIC,1,2,2,1
2008,OPM,OPM,0,35,32,3
2008,OSHRC,OSHRC,0,0,0,0
2008,OSTP,OSTP,0,1,0,1
2008,PC,FOIA Office,0,4,1,3
2008,PC,OIG,0,1,0,1
2008,PRC,PRC,0,0,0,0
2008,SBA,SBA,2,24,22,4
2008,SEC,HQ,36,196,187,45
2008,SSA,SSA,23,52,74,1
2008,SSS,SSS,0,0,0,0
2008,State,DoS,807,182,486,503
2008,STB,STB,0,0,0,0
2008,Treasury,BEP,0,2,1,1
2008,Treasury,BPD,0,0,0,0
2008,Treasury,DO,17,12,16,13
2008,Treasury,FinCEN,8,3,11,0
2008,Treasury,FMS,0,8,7,1
2008,Treasury,IRS,27,262,247,42
2008,Treasury,MINT,0,1,1,0
2008,Treasury,OCC,0,21,13,8
2008,Treasury,OTS,0,1,1,0
2008,Treasury,TIGTA,5,18,19,4
2008,Treasury,TTB,4,6,1,9
2008,TVA,TVA,1,10,8,3
2008,U.S. CPSC,U.S. CPSC,0,24,24,0
2008,U.S. DOL,DOL,231,360,383,208
2008,US RRB,OIG,0,0,0,0
2008,US RRB,RRB,1,1,2,0
2008,USAID,USAID,2,7,4,5
2008,USIBWC,USIBWC,0,0,0,0
2008,USITC,USITC,0,0,0,0
2008,USNRC,USNRC,1,8,9,0
2008,VA,GC (02),141,157,230,68
2009,CEQ,CEQ,0,0,0,0
2009,CFTC,CFTC,1,4,5,0
2009,CIA,CIA,172,241,212,201
2009,CO,CO,0,0,0,0
2009,CPPBSD,CPPBSD,0,1,1,0
2009,CSB,CSB,0,3,3,0
2009,DHS,CBP,119,540,271,388
2009,DHS,FLETC,0,2,2,0
2009,DHS,OGC,381,212,73,520
2009,DHS,TSA,6,33,37,2
2009,DHS,USCG,33,74,38,69
2009,DHS,USCIS,1978,1217,1185,2010
2009,DHS,USSS,22,51,67,6
2009,DNFSB,OGC,0,0,0,0
2009,DNFSB,OGM,0,0,0,0
2009,DOC,PTO,0,15,15,0
2009,DOC,AGC/Admin.,87,68,95,60
2009,DoD,AF,37,200,184,53
2009,DoD,AFRICOM,0,0,0,0
2009,DoD,ARMY,65,147,195,17
2009,DoD,ASBCA,0,0,0,0
2009,DoD,CENTCOM,0,0,0,0
2009,DoD,DCAA,0,5,5,0
2009,DoD,DCMA,0,3,3,0
2009,DoD,DeCA,0,2,2,0
2009,DoD,DFAS,0,3,2,1
2009,DoD,DIA,188,42,14,216
2009,DoD,DISA,0,3,1,2
2009,DoD,DLA,6,16,14,8
2009,DoD,DoDEA,0,0,0,0
2009,DoD,DoDIG,7,16,10,13
2009,DoD,DSS,0,2,2,0
2009,DoD,DTIC,0,0,0,0
2009,DoD,DTRA,0,3,3,0
2009,DoD,EUCOM,0,0,0,0
2009,DoD,JFCOM,0,0,0,0
2009,DoD,NAVY,45,282,307,20
2009,DoD,NGA,7,4,0,11
2009,DoD,NGB,0,0,0,0
2009,DoD,NORTHCOM,0,0,0,0
2009,DoD,NRO,4,5,2,7
2009,DoD,NSA,8,74,59,23
2009,DoD,OSD/JS,340,154,222,272
2009,DoD,PACOM,0,0,0,0
2009,DoD,SOCOM,0,0,0,0
2009,DoD,SOUTHCOM,0,0,0,0
2009,DoD,STRATCOM,0,0,0,0
2009,DoD,TRANSCOM,0,0,0,0
2009,DoD,TRICARE,0,0,0,0
2009,DOE,HQ,13,49,58,4
2009,DOI,Appeals,553,149,259,443
2009,DOJ,OIP,716,2884,2948,652
2009,DOJ,USPC,1,13,12,2
2009,DOT,FAA,77,115,110,82
2009,DOT,FHWA,11,20,20,11
2009,DOT,FMCSA,6,2,8,0
2009,DOT,FRA,1,6,4,3
2009,DOT,FTA,2,0,2,0
2009,DOT,MARAD,0,5,3,2
2009,DOT,NHTSA,1,7,8,0
2009,DOT,OIG,1,12,10,3
2009,DOT,OST,0,3,1,2
2009,DOT,PHMSA,2,1,3,0
2009,DOT,RITA,0,3,3,0
2009,DOT,SLSDC,0,0,0,0
2009,ED,OM-RIMS,37,46,55,28
2009,EPA,HQ,160,167,217,110
2009,Ex-Im Bank,AGENCY,0,2,2,0
2009,FCA,FCA,0,2,2,0
2009,FCC,FCC,30,14,37,7
2009,FCSIC,FCSIC,0,0,0,0
2009,FDIC,FDIC,2,51,49,4
2009,FEC,FEC,1,1,1,1
2009,FERC,FERC,1,14,13,2
2009,FFIEC,FFIEC,0,0,0,0
2009,FHFA,FHFA,0,10,10,0
2009,FLRA,FSIP,0,0,0,0
2009,FLRA,Authority,0,2,2,0
2009,FLRA,OGC,0,0,0,0
2009,FMC,FMC,0,1,0,1
2009,FMCS,FMCS,0,0,0,0
2009,FMSHRC,FMSHRC,0,0,0,0
2009,FOMC,FOMC,0,0,0,0
2009,FRB,FRB,0,22,21,1
2009,FTC,FTC,2,13,14,1
2009,GSA,GSA,0,16,16,0
2009,HHS,CMS,147,7,4,150
2009,HHS,OS,316,153,170,299
2009,HUD,Agency,0,39,39,0
2009,IAF,IAF,0,0,0,0
2009,IMLS,IMLS,0,0,0,0
2009,MSPB,MSPB,0,5,5,0
2009,NARA,NARA,29,43,66,6
2009,NASA,OGC,0,22,13,9
2009,NCUA,NCUA,0,12,10,2
2009,NEH,NEH,0,3,3,0
2009,NIGC,NIGC,0,3,3,0
2009,NMB,NMB,0,0,0,0
2009,NRPC,NRPC,0,1,0,1
2009,NSF,Foundation,0,3,3,0
2009,NSF,OIG,0,4,4,0
2009,OGE,OGE,0,0,0,0
2009,OMB,OMB,2,7,9,0
2009,ONDCP,OLC,0,0,0,0
2009,OPIC,OPIC,1,1,2,0
2009,OPM,OPM,3,30,31,2
2009,OSHRC,OSHRC,0,0,0,0
2009,OSTP,OSTP,0,3,3,0
2009,PC,FOIA Office,3,6,9,0
2009,PC,OIG,1,0,1,0
2009,PRC,PRC,0,0,0,0
2009,SBA,SBA,4,35,39,0
2009,SEC,HQ,45,247,267,25
2009,SIGIR,SIGIR,0,2,2,0
2009,SSA,SSA,1,113,105,9
2009,SSS,SSS,0,0,0,0
2009,State,DoS,508,242,248,502
2009,STB,STB,0,1,1,0
2009,Treasury,BEP,1,7,8,0
2009,Treasury,BPD,0,3,3,0
2009,Treasury,DO,13,36,20,29
2009,Treasury,FinCEN,0,4,4,0
2009,Treasury,FMS,1,7,8,0
2009,Treasury,IRS,42,241,223,60
2009,Treasury,MINT,0,3,3,0
2009,Treasury,OCC,8,28,12,24
2009,Treasury,OTS,0,8,8,0
2009,Treasury,TIGTA,4,20,23,1
2009,Treasury,TTB,7,7,9,5
2009,TVA,TVA,3,11,14,0
2009,U.S. CPSC,U.S. CPSC,0,19,19,0
2009,U.S. DOL,DOL,208,349,369,188
2009,US RRB,OIG,0,0,0,0
2009,US RRB,RRB,0,3,3,0
2009,USAID,USAID,5,14,9,10
2009,USITC,USITC,1,1,1,1
2009,USNRC,USNRC,0,25,20,5
2009,VA,GC,68,241,87,222
2010,ABMC,ABMC,0,0,0,0
2010,ACUS,ACUS,0,0,0,0
2010,BBG,BBG,0,2,2,0
2010,CEQ,CEQ,0,1,1,0
2010,CFTC,CFTC,0,7,7,0
2010,CIA,CIA,200,224,181,243
2010,CIGIE,CIGIE,0,0,0,0
2010,CNCS,CNCS,0,5,5,0
2010,CO,CO,0,0,0,0
2010,CPPBSD,CPPBSD,0,0,0,0
2010,CSB,CSB,0,0,0,0
2010,CSOSA,HQ,0,0,0,0
2010,DHS,CBP,388,450,815,23
2010,DHS,FLETC,0,1,1,0
2010,DHS,ICE,331,25,331,25
2010,DHS,OGC,520,157,134,543
2010,DHS,TSA,2,21,14,9
2010,DHS,USCG,69,42,62,49
2010,DHS,USCIS,2009,2004,3924,89
2010,DHS,USSS,6,40,44,2
2010,DNFSB,OGC,0,1,1,0
2010,DNFSB,OGM,0,0,0,0
2010,DOC,PTO,0,11,11,0
2010,DOC,AGC/Admin.,60,86,73,73
2010,DoD,AF,51,256,210,97
2010,DoD,ARMY,17,164,154,27
2010,DoD,ASBCA,0,0,0,0
2010,DoD,DCAA,0,4,4,0
2010,DoD,DCMA,0,5,2,3
2010,DoD,DeCA,0,0,0,0
2010,DoD,DFAS,1,2,3,0
2010,DoD,DIA,217,50,57,210
2010,DoD,DISA,2,2,0,4
2010,DoD,DLA,8,11,17,2
2010,DoD,DoDIG,17,29,26,20
2010,DoD,DSS,0,0,0,0
2010,DoD,DTRA,0,2,2,0
2010,DoD,NAVY,20,327,327,20
2010,DoD,NGA,11,6,11,6
2010,DoD,NRO,7,3,6,4
2010,DoD,NSA,23,77,56,44
2010,DoD,OSD/JS,273,169,148,294
2010,DOE,BPA,0,0,0,0
2010,DOE,CBFO,0,0,0,0
2010,DOE,CH,0,0,0,0
2010,DOE,EMCBC,0,0,0,0
2010,DOE,GFO,0,0,0,0
2010,DOE,HQ,4,91,88,7
2010,DOE,ID,0,0,0,0
2010,DOE,NETL,0,0,0,0
2010,DOE,NNSA,0,0,0,0
2010,DOE,NR,0,0,0,0
2010,DOE,NRLFO,0,0,0,0
2010,DOE,ORO,0,0,0,0
2010,DOE,OSTI,0,0,0,0
2010,DOE,ROO,0,0,0,0
2010,DOE,SEPA,0,0,0,0
2010,DOE,SPR,0,0,0,0
2010,DOE,SRO,0,0,0,0
2010,DOE,SWPA,0,0,0,0
2010,DOE,WAPA,0,0,0,0
2010,DOI,Appeals,443,151,304,290
2010,DOJ,OIP,661,3340,3404,597
2010,DOJ,USPC,3,11,9,5
2010,DOT,FAA,86,108,124,70
2010,DOT,FHWA,11,8,7,12
2010,DOT,FMCSA,0,10,6,4
2010,DOT,FRA,3,1,4,0
2010,DOT,FTA,0,1,1,0
2010,DOT,MARAD,6,2,6,2
