Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BIA,0,2,1,12,17,190,10,1,98,0,0,0,0,0,
BLM,0,43,26,33,71,207,14,0,53,0,5,6,0,6,
BOR,0,4,3,12,8,15,0,0,1,0,0,2,0,0,
FWS,1,9,5,21,83,80,15,0,22,9,12,1,0,1,
MMS,0,11,1,18,12,18,0,0,0,0,0,0,0,0,
NPS,2,10,8,31,24,167,17,1,39,0,3,1,0,1,
OIG,0,25,3,1,13,34,6,0,32,0,1,0,0,0,
OS,0,10,0,8,23,33,1,0,0,0,1,0,0,0,
OSM,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
SOL,0,2,1,0,11,0,0,0,0,0,0,0,0,0,
USGS,0,0,0,19,10,7,2,0,0,0,0,0,0,2,
Total,3,116,49,155,273,752,65,2,245,9,22,10,0,10,
