Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ALJ,0,0,0,0,1,9,0,0,0,0,0,0,0,0,
ASP,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
BLS,0,0,2,6,1,1,0,0,0,0,2,0,0,0,
EBSA,0,1,1,16,14,69,22,1,37,0,27,0,0,0,
ETA,0,2,0,109,303,686,0,0,0,0,162,0,0,0,
ILAB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
MSHA,0,1,3,19,172,171,146,0,774,100,1,0,0,0,
OASAM,0,2,0,31,1,15,3,0,3,0,0,0,0,0,
OCIA,0,0,0,0,0,13,0,0,0,0,0,0,0,0,
OFCCP,0,3,0,20,28,11,10,1,73,1,48,0,0,0,
OIG,0,0,5,2,6,13,3,0,22,0,5,0,0,0,
OLMS,0,0,0,4,8,16,3,0,22,3,16,0,0,0,
OSEC,0,0,0,1,2,6,0,0,1,0,0,0,0,0,
OSHA,0,148,0,2542,2293,944,1387,65,3522,1488,155,0,0,0,
OWCP,0,1,0,4,5,50,0,0,0,0,0,0,0,0,
SOL,0,2,0,6,10,17,5,2,5,1,1,0,0,0,
VETS,0,1,0,5,47,31,17,4,48,27,15,0,0,0,
WHD,0,1,0,909,463,56,206,6,1244,490,1049,1,0,0,
Total,0,162,11,3674,3354,2111,1802,79,5751,2110,1481,1,0,0,
