Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ATLANTA,0,0,6,0,1086,1,42,0,311,0,0,0,0,0,
BIRMINGHAM,0,0,584,0,776,0,30,0,699,0,0,0,0,0,
CHARLOTTE,0,0,27,0,940,0,6,0,374,0,0,0,0,0,
CHICAGO,0,0,135,3,481,142,49,0,234,5,0,0,0,0,
DALLAS,0,0,563,6,1334,114,112,0,758,6,4,0,0,0,
HOUSTON,0,0,58,1,628,47,146,0,510,5,0,0,0,0,
INDIANAPOLIS,0,0,100,0,1419,596,221,0,656,12,0,0,0,0,
LOS ANGELES,0,0,665,0,497,479,66,0,23,0,0,0,0,0,
MEMPHIS,0,0,182,0,579,351,47,0,399,1,0,0,0,0,
MIAMI,0,0,100,0,1133,212,200,0,370,7,0,0,0,0,
NEW YORK,0,0,398,0,400,14,84,0,260,0,0,0,0,0,
OLC/HDQ,0,0,617,1,4,7,2,0,161,0,2,0,0,0,
PHILADELPHIA,0,1,696,1,869,174,240,0,293,2,1,0,0,0,
PHOENIX,0,0,355,6,320,236,137,0,287,5,1,0,0,0,
SAN FRANCISCO,0,0,450,0,294,166,98,0,191,1,0,0,0,0,
ST. LOUIS,0,0,27,2,845,10,8,0,23,1,0,0,0,0,
WFO,0,0,46,0,118,0,27,0,84,0,0,0,0,0,
Total,0,1,5009,20,11723,2549,1515,0,5633,45,8,0,0,0,
