Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AFRC,0,0,0,5,0,0,0,0,0,0,1,1,0,0,
ARC,0,0,1,17,4,6,0,0,0,0,0,4,0,0,
GRC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
GSFC,0,1,5,14,3,2,0,0,0,0,0,0,0,0,
HQ,0,3,6,4,15,10,1,0,2,0,5,0,0,0,
JPL,0,0,2,0,0,2,0,0,0,0,0,0,0,0,
JSC,0,0,0,6,2,6,0,0,0,0,0,0,0,0,
KSC,0,0,6,11,7,3,0,0,0,0,0,1,0,0,
LaRC,0,0,0,3,1,0,0,0,0,0,0,0,0,0,
MSFC,0,0,10,7,0,3,0,0,1,0,0,0,0,0,
NSSC,0,0,2,2,0,2,0,0,0,1,0,0,0,0,
OIG,0,0,0,0,3,42,3,0,42,34,3,0,0,0,
SSC,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Total,0,4,33,72,35,76,4,0,45,35,9,6,0,0,
