Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
ADJ BDS,0,3,3,3,3,
ALJ,15,1,2,5.6,12,
ASP,0,12,2019,1889,0,
BLS,1,0,11,11,0,
CFO,0,3,17,46.3,1,
EBSA,4,1,1,4.2,4,
ETA,17,64,9,25.8,38,
ILAB,0,1,11,11,0,
MSHA,29,23,8,30.8,30,
OASAM,1,0,92,92,0,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OFCCP,2,10,17,21.3,4,
OIG,6,2,0,0,3,
OLMS,2,2,1,4.8,3,
OPA,0,0,0,0,0,
OSHA,96,74,10,23.4,71,
OWCP,3,17,20,31.3,6,
SOL,3,0,68,68,0,
VETS,8,1,9,9.5,1,
WB,3,0,5,5,3,
WHD,23,27,9,19.6,20,
Total,213,241,N/A,N/A,199,
