Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
A&MM (049),0,0,0,0,6,141,1,988,,,,,
Admin (03),0,0,0,0,0,0,0,0,0,0,0,0,
BVA (01),0,0,0,0,8.5,10,1,24,,,,,
OC&LA (009),0,0,0,0,0,0,0,0,0,0,0,0,
OCFM (00CFM),0,0,0,0,9,14.4,1,90,,,,,
ODM&EEO (06),0,0,0,0,0,0,0,0,0,0,0,0,
GC (02),0,0,0,0,44,10,1,87,,,,,
OHRM (05),0,0,0,0,3,3,2,5,2,2,2,2,
IG (50),0,0,0,0,6,7,1,20,,,,,
NCA (40),0,0,0,0,13.5,14,1,43,2,2,2,2,
OASHRA (006),0,0,0,0,0,0,0,0,0,0,0,0,
OASP&IA (002),0,0,0,0,0,0,0,0,0,0,0,0,
ODASB (041),0,0,0,0,0,0,0,0,0,0,0,0,
ODASIA (075),0,0,0,0,0,0,0,0,0,0,0,0,
OF (047),0,0,0,0,4,31.2,1,101,,,,,
OI&T (005),0,0,0,0,2,16,1,240,5,5,5,5,
MGMT (004),0,0,0,0,1,1,1,1,,,,,
ORM (08),0,0,0,0,4,5,2,6,,,,,
OSDBU (00SB),0,0,0,0,0,0,0,0,0,0,0,0,
P&P (008),0,0,0,0,10,10,10,10,,,,,
PA (80),0,0,0,0,0,0,0,0,0,0,0,0,
S&LE (07),0,0,0,0,20.5,5,1,41,,,,,
SEC (00),0,0,0,0,1,2,2,4,,,,,
VBA (20),0,0,0,0,10.5,29,1,2104,1,1,1,72,
VCS (785),0,0,0,0,0,0,0,0,0,0,0,0,
VHA (10),0,0,0,0,2,10,1,1073,1,1,1,107,
Total,0,0,0,0,0,0,1,2104,0,0,1,107,
