Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ARC,99,118,1,415,9,30,9,163,41,41,33,49,
DFRC,515,51,3,286,177,35,29,46,0,0,0,0,
GRC,9,10,1,50,21,23,1,64,0,0,0,0,
GSFC,11,28,1,146,51,82,1,635,0,0,0,0,
HQS,8,19,1,119,84,123,1,1208,0,0,0,0,
JPL,14,28,1,110,0,0,0,0,0,0,0,0,
JSC,7,7,1,20,75,75,21,260,30,30,4,110,
KSC,4,8,1,60,8,25,2,160,0,0,0,0,
LaRC,101,101,101,101,396,377,2,871,0,0,0,0,
MSFC,14,15,1,42,35,37,19,77,0,0,0,0,
NSSC,7,14,1,25,0,0,0,0,0,0,0,0,
OIG,18,10,2,14,0,0,0,0,0,0,0,0,
SSC,7,28,2,146,10,220,14,28,0,0,0,0,
Total,11,34,1,415,35,83,1,1142,36,36,4,110,
