Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BIA,2,3,,48,20,33,,785,,,,,
BLM,3,5,,45,19,32,,476,,,,,
BOEMRE,,1,,2,12,21,,199,,,,,
BOR,9,18,4,75,17,24,,280,11,11,11,11,
FWS,3,6,1,19,15,27,,667,12,12,7,17,
NPS,,5,,43,6,16,,424,19,37,2,124,
OIG,2,6,1,20,99,142,1,457,,,,,
OS,,,,,19,56,,1185,,,,,
OSM,,,,,13,42,,545,,,,,
SOL,,,,,45,170,,1051,,,,,
USGS,,,,,15,18,,179,,,,,
Total,2,4,0,75,16,32,0,1185,16,28,2,124,
