Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
FSA,59,98,1,393,28,60,3,344,,,,,
IES,32,43,4,152,29,31,4,84,,,,,
IES-NAGB,328,294,96,365,53,53,53,53,,,,,
OCFO,161,192,109,355,409,409,409,409,,,,,
OCFO-CAM,61,75,2,235,51,70,15,193,,,,,
OCFO-FSS,,,,,382,382,382,382,,,,,
OCIO,92,98,78,123,,,,,,,,,
OCR,33,39,1,376,44,106,10,395,,,,,
OCR-1 Boston,29,35,1,131,75,89,4,187,,,,,
OCR-2 New York,23,36,1,286,20,61,18,144,,,,,
OCR-3 Philadelphia,44,65,3,211,51,51,51,51,,,,,
OCR-4 Atlanta,23,33,3,357,36,118,13,389,,,,,
OCR-5 Chicago,20,19,1,52,22,22,22,22,,,,,
OCR-6 Dallas,19,18,7,25,21,24,3,102,1,1,1,1,
OCR-7 Kansas City,40,41,5,104,18,18,17,18,,,,,
OCR-8 Denver,17,18,1,74,25,29,22,39,23,23,23,23,
OCR-9 San Francisco,3,4,1,15,13,15,2,34,,,,,
OCR-10 Seattle,4,6,1,22,10,12,1,30,,,,,
OCR-12 Cleveland,22,23,2,59,,,,,,,,,
OCR-Metro D.C.,16,41,1,192,32,64,10,159,,,,,
OELA,33,55,2,20,165,165,165,165,,,,,
OESE,75,91,1,376,44,106,10,395,,,,,
OGC,83,83,83,83,,,,,,,,,
OIG,14,30,2,124,20,37,3,147,,,,,
OII,42,78,3,375,28,89,1,387,,,,,
OLCA,107,123,67,211,,,,,,,,,
OM,48,51,4,152,33,32,25,39,,,,,
OM-RIMS,41,66,1,422,21,41,3,268,314,314,314,314,
OPE,68,78,7,303,50,52,5,228,,,,,
OPEPD,113,132,1,302,51,88,33,357,,,,,
OS,213,213,213,213,127,127,42,211,,,,,
OSDFS,59,73,4,239,15,36,4,92,,,,,
OSERS,37,70,12,357,47,47,3,95,,,,,
OVAE,49,46,1,87,,,,,,,,,
Total,30,57,1,422,23,45,1,409,23,113,1,314,
