Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ATLANTA,1,5.4618,1,23,0,0,0,0,0,0,0,0,
BIRMINGHAM,17,16.3047,1,69,0,0,0,0,0,0,0,0,
CHARLOTTE,19,18.5764,1,57,0,0,0,0,0,0,0,0,
CHICAGO,16,13.6918,1,157,0,0,0,0,0,0,0,0,
DALLAS,4,7.71501,1,76,0,0,0,0,1,1,1,1,
HOUSTON,16,12.9878,1,30,0,0,0,0,0,0,0,0,
INDIANAPOLIS,5,5.76913,1,39,0,0,0,0,0,0,0,0,
LOS ANGELES,1,1.97154,1,35,0,0,0,0,0,0,0,0,
MEMPHIS,17,14.9498,1,31,0,0,0,0,0,0,0,0,
MIAMI,1,13.479,1,240,0,0,0,0,0,0,0,0,
NEW YORK,13,15.1007,1,128,0,0,0,0,0,0,0,0,
OLC/HDQ,17,18.7553,1,150,0,0,0,0,0,0,0,0,
PHILADELPHIA,9,13.5979,1,110,0,0,0,0,0,0,0,0,
PHOENIX,8,8.36937,1,36,0,0,0,0,0,0,0,0,
SAN FRANCISCO,13,11.8959,1,49,0,0,0,0,0,0,0,0,
ST. LOUIS,17,14.2394,1,30,0,0,0,0,0,0,0,0,
WFO,12,11.8473,1,83,0,0,0,0,0,0,0,0,
Total,9,11,1,240,0,0,0,0,1,1,1,1,
