Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
AMS,32,35,1,206,0,0,0,0,0,0,0,0,
APHIS,46,112,1,1106,322,368,12,1042,161,383,3,1189,
ASCR,15,15,1,30,0,0,0,0,0,0,0,0,
DM,22.5,36,1,96,0,0,0,0,0,0,0,0,
FAS,8,24.2,0.5,130,0,0,0,0,0,0,0,0,
FNCS,12,19,1,178,0,0,0,0,0,0,0,0,
FS,13,16.42,0,262,29,38.5,0,328,0,0,0,0,
FSA,1,2,0,200,2,18,0,349,1,1,1,1,
FSIS,21,44,,445,43,119,,643,0,0,0,0,
GIPSA,5,7.4,1,36,44,76,37,133,0,0,0,0,
NAD,2,3,1,11,0,0,0,0,0,0,0,0,
NRCS,5,5,1,23,14,14,1,26,0,0,0,0,
OBPA,6,6,0,21,0,0,0,0,0,0,0,0,
OCFO,4,6,1,20,19,19,0,19,0,0,0,0,
OGC,28,75,3,581,0,0,0,0,0,0,0,0,
OIG,8,14,2,34,100,156,41,778,0,0,0,0,
OSEC,20,21,1,93,39,43,4,106,0,0,0,0,
RD,13,45,,999,131,112,14,239,0,0,0,0,
REE,0,0,0,0,12,13,1,32,0,0,0,0,
RMA,9,12,1,36,32,32,6,89,0,0,0,0,
Total,23,26,0,1106,161,50,0,1042,81,19,0,1189,
