Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ATLANTA,15,13.4248,1,33,0,0,0,0,0,0,0,0,
BIRMINGHAM,19,18.6876,1,78,0,0,0,0,0,0,0,0,
CHARLOTTE,19,20.7727,1,261,0,0,0,0,1,1,1,1,
CHICAGO,17,14.3398,1,95,0,0,0,0,0,0,0,0,
DALLAS,9,12.7161,1,86,0,0,0,0,0,0,0,0,
HOUSTON,12,11.3001,1,30,0,0,0,0,0,0,0,0,
INDIANAPOLIS,9,9.06876,1,41,0,0,0,0,0,0,0,0,
LOS ANGELES,8,8.3125,1,20,0,0,0,0,0,0,0,0,
MEMPHIS,18,17.0733,1,54,0,0,0,0,0,0,0,0,
MIAMI,18,18.1431,1,84,0,0,0,0,0,0,0,0,
NEW YORK,29,48.8708,1,290,0,0,0,0,0,0,0,0,
OLC/HDQ,19,22.219,1,81,0,0,0,0,5,5,5,5,
PHILADELPHIA,23,24.791,1,165,0,0,0,0,0,0,0,0,
PHOENIX,15,13.2801,1,30,0,0,0,0,0,0,0,0,
SAN FRANCISCO,7,9.03789,1,100,0,0,0,0,0,0,0,0,
ST. LOUIS,17,15.0617,1,30,0,0,0,0,0,0,0,0,
WFO,18,16.3054,1,29,0,0,0,0,0,0,0,0,
Total,15,16,1,290,0,0,0,0,3,3,1,5,
