Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
HQ,21,74.92,,1448,427,586.71,14,1326,20,29.07,6,116,
Region 1,16,19.27,,191,3,3,3,3,0,0,0,0,
Region 2,96,104.88,,354,48.5,74.43,20,214,0,0,0,0,
Region 3,21,20.88,,138,44.5,60.25,21,321,0,0,0,0,
Region 4,19,23.73,,558,48,64.3,4,252,11,11,11,11,
Region 5,16,17.67,,260,69,79.27,21,207,0,0,0,0,
Region 6,25,33.3,,474,152,455.67,76,1139,0,0,0,0,
Region 7,16,16.86,,127,483,483,483,483,18.5,18.5,18,19,
Region 8,14,16.23,,377,42,92.09,7,400,0,0,0,0,
Region 9,14,16.65,,309,120,204.6,59,593,0,0,0,0,
Region 10,18,29.06,,298,64,57.2,35,73,31,31,31,31,
Total,20,47,0,1448,48,96,3,1326,19,27,6,116,
