Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ARC,20.5,32.59,,276,79,193,20,480,,,,,
DFRC,12,21.33,1,93,30,30,30,30,,,,,
GRC,11,14,,47,11.5,35.21,1,448,,,,,
GSFC,10,16.77,,82,25.5,36.66,,298,,,,,
HQ,4,44.98,,842,80.5,135.96,,846,227,227,227,227,
JPL,4,6.59,,37,9.5,12.55,,77,,,,,
JSC,,17,,80,10,19.04,,351,,,,,
KSC,7,11.93,,63,22,38.11,,318,,,,,
LaRC,,6.22,,35,20,97.25,,841,,,,,
MSFC,12,13.9,,84,29,32.14,2,100,,,,,
NSSC,18,23.46,9,86,42,109.67,16,452,,,,,
OIG,18.5,16.84,,47,4,4,4,4,,,,,
SSC,9,11.57,,50,246.5,246.5,151,342,,,,,
Total,11,24,0,842,18,58,0,846,227,227,227,227,
