Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIS,10,15,4,66,0,0,0,0,7,7,7,7,
Census,19,18,1,39,18,23,1,239,20,18,8,29,
EDA,10,10,2,19,40,43,21,100,0,0,0,0,
ESA,1,3,1,6,17,38,29,46,0,0,0,0,
ITA,31,84,1,367,158,177,4,424,0,0,0,0,
MBDA,9,10,8,16,59,59,59,59,0,0,0,0,
NIST,3,19,1,511,0,0,0,0,0,0,0,0,
NOAA,52,101,1,222,16,27,1,628,0,0,0,0,
NTIA,4,7,1,28,29,110,1,479,4,8,1,25,
NTIS,6,9,1,35,0,0,0,0,0,0,0,0,
OIG,18,16,0,51,0,0,0,0,0,0,0,0,
OS,14,12,1,30,47,70,26,380,0,0,0,0,
PTO,11,11,1,29,0,0,0,0,0,0,0,0,
Total,13,18,1,511,32,76,1,628,8,10,1,29,
