Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIA,1,1,,23,17,27,,736,,,,,
BLM,4,4,,20,21,52,,776,15,15,15,15,
BOEM,8,11,,27,27,45,,269,28,28,15,41,
BOR,9,9,1,17,16,29,,381,,,,,
BSEE,11,11,8,13,22,65,,538,,,,,
FWS,13,13,,29,18,39,,713,7,13,4,27,
NPS,,,,,9,27,,1438,9,18,,103,
OIG,3,10,1,81,127,534,1,1870,14,25,4,70,
OS,,,,,26,85,,661,3,3,2,4,
OSM,1,1,,2,16,73,,662,356,289,141,369,
SOL,,,,,114,313,,1497,,,,,
USGS,1,1,,1,14,13,,46,,,,,
Total,1,2,0,29,17,44,0,1497,12,48,0,369,
