Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,8,13,,435,39,86,,997,12,21,,321,
AFRICOM,46,42,2,103,131,410,33,1085,,,,,
ARMY,4,6,,20,20,36,,1272,3,2,,6,
ASBCA,3,5,1,16,,,,,,,,,
CENTCOM,9,46,1,364,96,200,,1835,,,,,
DCAA,5,7,1,23,23,28,10,49,,,,,
DCMA,10,9,,20,549,124,13,1085,11,11,11,11,
DeCA,23,62,,229,,,,,,,,,
DFAS,9,10,1,36,20,27,4,250,4,8,4,16,
DHA,20,25,3,96,44,57,5,296,,,,,
DIA,5,6,1,20,264,728,21,3421,,,,,
DISA,38,86,1,795,26,34,5,158,,,,,
DLA,6,8,6,207,12,11,16,120,,3,15,35,
DoD IG,5,6,,20,104,183,12,1182,81,81,7,155,
DoDEA,20,19,1,51,40,34,18,43,,,,,
DSS,7,5,1,60,,,,,,,,,
DTIC,10,11,1,20,28,36,21,116,,,,,
DTRA,5,9,,34,58,89,1,905,,,,,
EUCOM,6,10,1,108,111,331,22,1379,,,,,
JPRA,8,8,7,9,33,38,22,70,,,,,
NAVY,9,35,1,1345,33,112,1,2006,12,22,1,191,
NGA,10,28,,93,45,150,,851,,,,,
NGB,13,14,,35,118,179,3,695,,,,,
NORTHCOM,9,6,1,20,28,92,24,279,8,8,8,8,
NRO,6,11,,26,86,122,31,768,39,39,39,39,
NSA,6,14,,569,215,425,4,4060,142,182,10,630,
OSD/JS,5,6,,102,51,283,,3142,59,59,59,59,
PACOM,1,2,1,25,174,293,4,3407,,,,,
SOCOM,3,9,1,106,85,267,1,1839,,,,,
SOUTHCOM,19,13,6,25,194,275,26,745,,,,,
STRATCOM,5,7,,19,97,93,23,228,,,,,
TRANSCOM,12,12,1,20,82,118,21,395,,,,,
Total,0,13,0,1345,0,97,0,4060,0,35,0,630,
