Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AFRC,5,5,5,5,21,24.57,16,38,,,,,
ARC,1.5,1.5,1,2,38,71.52,6,418,,,,,
GRC,3,5.67,,14,,,,,,,,,
GSFC,5,6.3,,21,18,20.53,1,87,,,,,
HQ,5.5,7.01,,23,22,27.88,2,98,,,,,
JPL,2,2,2,2,7,10.29,,30,,,,,
JSC,7,7.47,,30,12,25.97,,265,,,,,
KSC,5.5,6,,15,35,48.82,,235,,,,,
LaRC,2,2.2,,5,19.5,17.5,6,26,,,,,
MSFC,9,9.03,,21,29,23.44,2,50,,,,,
NSSC,8,8.25,4,13,9.5,18.5,4,46,,,,,
OIG,5.5,9.37,,21,23,23.86,,52,,,,,
SSC,4,8.33,2,19,14,21.33,12,38,,,,,
Total,6,7,0,30,23,33,0,418,0,0,0,0,
