Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",7,ATLANTA,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",381,BIRMINGHAM,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",29,CHARLOTTE,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",87,CHICAGO,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",232,DALLAS,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",49,HOUSTON,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",111,INDIANAPOLIS,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",366,LOS ANGELES,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",28,MEMPHIS,2396
"42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)",Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.,"EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)",497,MIAMI,2396
